,,Paper associated ,Affiliation code,Afilliation name -,Intitute ,Country ,Discipline,Note (if applicable)
,,p12,41,"Agence Nationale de S‚curit‚ Sanitaire de l'Alimentation, de l'Environnement et du Travail, Ploufragan, France",Agence Nationale de S‚curit‚ Sanitaire de l'Alimentation-Ploufragan,#VALUE!,STEM,
,,p4,12,"Astronomy and Meteorology Department, Faculty of Science, Al-Azhar University, Cairo, Egypt.",Al-Azhar University,#VALUE!,PH-VET,
,,p35,19,"U.S. Geological Survey, Alaska Science Center, Anchorage, Alaska, United States of America,",Alaska Science Center,#VALUE!,STEM-Ecology,
,,p5,19,"U.S. Geological Survey, Alaska Science Center, Anchorage, AK, USA ",Alaska Science Center,#VALUE!,PH-EPI,
,,p14,48,"Division of Veterinary Epidemiology, Animal and Plant Quarantine Agency, Gimcheon 39660, Korea",Animal and Plant Quarantine Agency,#VALUE!,PH-EPI,
,,p21,84,"Ausvet Europe, Lyon, France",Ausvet Europe,#VALUE!,PH-EPI,
,,p3,8,"Institute of Land Surface System and Sustainable Development, Faculty of Geographical Science, Beijing Normal University, Beijing 100875, China
",Beijing Normal University,#VALUE!,STEM,
,,p3,9,"State Key Laboratory of Earth Surface Processes
and Resource Ecology, Faculty of Geographical Science, Beijing Normal University, Beijing 100875, China",Beijing Normal University,#VALUE!,PH-VET,
,,p21,83,"Looking out for Birds (BTO) Scotland, Stirling, UK",BTO Scotland,#VALUE!,STEM,
,,p21,86,"Looking out for Birds (BTO), Thetford, UK",BTO Thetford,#VALUE!,STEM,
,,p5,76,"Department of Biological Sciences, California State University Chico, Chico, CA, USA.",California State University Chico,#VALUE!,STEM-Biology,
,,p21,81,"Catalan Ornithological Institute, Barcelona, Spain ",Catalan Ornithological Institute,#VALUE!,STEM,
,,p26,116,"Faculty of Veterinary Medicine, Chattogram Veterinary and Animal Sciences University, Chattogram 4225, Bangladesh",Chattogram Veterinary and Animal Sciences University,#VALUE!,PH-VET,
,,p23,97,"China Animal Health and Epidemiology
Centre, Qingdao, China","China Animal Health and Epidemiology
Centre",#VALUE!,PH-EPI,
,,p20,65,"State Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin 150069, China;",Chinese Academy of Agricultural Sciences,#VALUE!,STEM,
,,p18,58,"School of Population Medicine and Public Health, Chinese Academy of Medical Science & Peking Union Medical College, Beijing, China",Chinese Academy of Medical Science & Peking Union Medical College,#VALUE!,PH-MED,
,,p18,59,"Department of Influenza, WHO Collaborating Centre for Reference and Research on Influenza, Chinese National Influenza Centre, National Institute for Viral Disease Control and Prevention, Chinese Centre for Disease Control and Prevention, Beijing, China",Chinese Centre for Disease Control and Prevention,#VALUE!,PH-EPI,
,,p14,47,"Veterinary Public Health Lab, College of Veterinary Medicine, Chonnam National University, Gwangju 61186, Korea",Chonnam National University,#VALUE!,PH-VET,
,,p26,109,"Centre for Integrative Ecology, School of Life and Environmental Sciences, Deakin University, Geelong, Victoria,
VIC 3216, Australia",Deakin University,#VALUE!,STEM-Ecology,
,,p13,46,"Department of Applied Mathematics and Institute of Statistics, Taichung 402, Taiwan ",Department of Applied Mathematics and Institute of Statistics,#VALUE!,PH-VET,
,,p12,42,"Direction Ge?ne?rale de l'Alimentation, Paris, France ",Direction Ge?ne?rale de l'Alimentation,#VALUE!,PH-VET,
,,p26,114,"Institute of Epidemiology, Disease Control and Research (IEDCR), Dhaka 1212, Bangladesh",Disease Control and Research (IEDCR),#VALUE!,PH-EPI,
,,p21,85,"Sovon, Dutch Centre for Field Ornithology, Nijmegen, Netherlands",Dutch Centre for Field Ornithology,#VALUE!,STEM,
,,p34,94,"Sovon, Dutch Centre for Field Ornithology, 6525 ED Nijmegen, The Netherlands",Dutch Centre for Field Ornithology,#VALUE!,STEM-Ecology,
,,p5,18,"U.S. Geological Survey, Eastern Ecological Science Center, Laurel, Maryland, USA",Eastern Ecological Science Center - Maryland,#VALUE!,STEM-Ecology,
,,p26,108,"EcoHealth Alliance, New York, NY 10018, USA",EcoHealth Alliance,#VALUE!,STEM-Ecology,
,,p8,70,"Ecole sup‚rieure de Technologie de Lƒayoune, Quartier 24 Mars, Lƒayoune 3007, Morocco",Ecole sup‚rieure de Technologie de Lƒayoune,#VALUE!,STEM,
,,p12,43,"Department of Biosystems Science and Engineering, ETH Zurich, Basel, Switzerland",ETH Zurich,#VALUE!,STEM,
,,p21,82,"EuroBirdPortal/EBCC, Barcelona, Spain",EuroBirdPortal/EBCC,#VALUE!,STEM,
,,p33,130,"Federal Agency for the Safety of the Food Chain, Brussels ",Federal Agency for the Safety of the Food Chain,Belgium ,PH-EPI,
,,p35,110,"U.S. Fish and Wildlife Service, Chesapeake Bay Field Office, Annapolis, Maryland, United States of America ",Fish and Wildlife Service,#VALUE!,STEM,
,,p8,31,"Division of Pharmacy and Veterinary Inputs, Food Safety National Office (ONSSA), Rue Ikhlas Cym,
PB 4509 Akkari, Rabat 10050, Morocco",Food Safety National Office (ONSSA),#VALUE!,PH-VET,
,,p15,71,"Vaccine and Infectious Disease, Fred Hutchinson Cancer Research Centre, Seattle, Washington, USA",Fred Hutchinson Cancer Research Centre,#VALUE!,PH-EPI,
,,p20,72," French Agency for Food, Environmental and Occupational Health & Safety (ANSES) Laboratory of Ploufragan-Plouzan‚-Niort, Ploufragan, France","French Agency for Food, Environmental and Occupational Health & Safety (ANSES) Laboratory of Ploufragan-Plouzan‚-Niort",#VALUE!,STEM,
,,p32,123,"Institute of Diagnostic Virology, Friedrich-Loeffler-Institut, 17493 Greifswald-Insel Riems, Germany ",Friedrich-Loeffler-Institut,Germany,PH-VET,
,,p32,124,"Institute of Epidemiology, Friedrich-Loeffler-Institut, 17493 Greifswald-Insel Riems, Germany ",Friedrich-Loeffler-Institut,Germany,PH-EPI,
,,p32,125,"Institute for International Animal Health/One Health, Friedrich-Loeffler-Institut,
17493 Greifswald-Insel Riems, Germany",Friedrich-Loeffler-Institut,Germany,PH-VET,
,,p25,111,"Department of Biology, Frostburg State University, Frostburg, Maryland, USA ",Frostburg State University ,#VALUE!,STEM-Biology,
,,p11,35,"Department of Epidemiology and Health statistics, School of Public Health, Fudan University, Shanghai, China",Fudan University,#VALUE!,PH-EPI,
,,p28,122,"Key Laboratory of Public Health Safety, Ministry of Education, 
School of Public Health, Fudan University, 200032 Shanghai, China, ",Fudan University,#VALUE!,PH-MED,
,,p20,67,"Guangdong Laboratory for Lingnan Modern Agriculture, Guangzhou 510642, China",Guangdong Laboratory for Lingnan Modern Agriculture,#VALUE!,STEM,note: Diagnostic Virologist
,,p23,100,"Guangxi Centre of Animal Disease Prevention and Control, Nanning, China",Guangxi Centre of Animal Disease Prevention and Control,#VALUE!,PH-EPI,
,,p31,104,"Department of Statistics, Graduate School, Hankuk University of Foreign Studies, Seoul, Republic of Korea",Hankuk University of Foreign Studies,#VALUE!,STEM,
,,p9,32,"State Key Laboratory of Veterinary Biotechnology and National Data Center of Animal Infectious Diseases, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin, China",Harbin Veterinary Research Institute,#VALUE!,PH-VET,
,,p27,117,"Honam National Institute of Biological Resources, Mokpo 58762, Korea",Honam National Institute of Biological Resources,#VALUE!,STEM-Biology,
,,p23,102,"Hubei International Scientific and Technological Cooperation Base of Veterinary Epidemiology, Huazhong Agricultural University, Wuhan, China",Huazhong Agricultural University,#VALUE!,PH-EPI,
,,p8,29,"Istituto Zooprofilattico Sperimentale delle Venezie, 35020 Legnaro, Italy",Istituto Zooprofilattico Sperimentale delle Venezie,#VALUE!,PH-VET,
,,p11,38,"Jinshan District Center for Disease Control and Prevention, Shanghai, China",Jinshan District Center for Disease Control and Prevention,#VALUE!,PH-VET,
,,p4,16,"Department of Animal Hygiene and Preventive Medicine, Faculty of Veterinary Medicine, Kafrelsheikh University, Kafrelsheikh, Egypt. ",Kafrelsheikh University,#VALUE!,PH-VET,
,,,105,"College of Veterinary Medicine and Institute of Veterinary Science, Kangwon National University, Chuncheon, Republic of Korea",Kangwon National University,#VALUE!,PH-VET,
,,p17,57,"Key Laboratory of Zoonoses Prevention and Control of Guangdong Province, Guangzhou, China",Key Laboratory of Zoonoses Prevention and Control of Guangdong Province,#VALUE!,PH-EPI,
,,p1,3,"Environment Assessment Group, Korea Environment Institute, Sejong",Korea Environment Institute,#VALUE!,STEM,
,,p2,77,"Department of Public Health, College of Medicine, Korea University, Seoul",Korea University,#VALUE!,PH-MED,
,,p11,106,"Department of Animal Disease Control and Quarantine, Graduate School of Public Health, Korea University, Seoul, South Korea",Korea University,#VALUE!,PH-VET,
,,p11,35,"Department of Preventive Medicine, College of Medicine, Korea University, Seoul, South Korea ",Korea University,#VALUE!,PH-MED,
,,p11,36,"Transdisciplinary Major in Learning Health Systems, Department of Healthcare Sciences, Graduate School, Korea University, Seoul, South Korea",Korea University,#VALUE!,PH-MED,
,,p1,2,"Department of Biology, KyungHee University, Seoul",KyungHee University,#VALUE!,STEM,
,,p1,4,"Korea Institute of Ornithology, KyungHee University, Seoul,",KyungHee University,#VALUE!,STEM,
,,p20,66,"College of Agronomy, Liaocheng University, Liaocheng 252000, China;",Liaocheng University,#VALUE!,SHAPE,
,,p6,69,Matrouh University,Matrouh University ,#VALUE!,STEM,
,,p17,56,"Key Laboratory of Zoonosis, Key Laboratory of Animal Vaccine Development, Ministry of Agriculture and Rural Affairs, Guangzhou, China ",Ministry of Agriculture and Rural Affairs,#VALUE!,PH-EPI,
,,p11,36,"Key Laboratory of Public Health Safety, Ministry of Education, Shanghai, China",Ministry of Education,#VALUE!,PH-EPI,
,,p8,27,"Biodiversity, Ecology and Genome Laboratory, Faculty of Sciences, Mohammed V University in Rabat,
4 Avenue Ibn Battouta, Rabat 10106, Morocco;",Mohammed V University in Rabat,#VALUE!,PH-VET,
,,p8,28,"Mouahid's Veterinary Clinic, Temara 12000, Morocco",Mouahid's Veterinary Clinic,#VALUE!,PH-VET,
,,p23,98,"School of Veterinary Medicine, Murdoch University, Perth, Australia",Murdoch University,#VALUE!,PH-VET,
,,p23,99,"Royal Veterinary College, University of London, Hatfield, UK",Murdoch University,#VALUE!,PH-VET,
,,p23,103,"Centre for Biosecurity and One Health, Harry Butler Institute, Murdoch University, Perth, Australia",Murdoch University ,#VALUE!,STEM,
,,p13,45,"Graduate Institute of Microbiology and Public Health, College of Veterinary Medicine, National Chung Hsing University, 145 Xingda Rd., Taichung 402, Taiwan",National Chung Hsing University,#VALUE!,STEM,
,,p19,60,"Department of Disease Control and Epidemiology, National Veterinary Institute, 751 89 Uppsala, Sweden",National Veterinary Institute,#VALUE!,PH-VET,
,,p19,62,"Department of Pathology and Wildlife Diseases, National Veterinary Institute, 751 89 Uppsala, Sweden;",National Veterinary Institute,#VALUE!,PH-VET,
,,p19,63,"Department of Microbiology, National Veterinary Institute, 751 89 Uppsala, Sweden",National Veterinary Institute,#VALUE!,PH-VET,
,,p19,64,"Department of Animal Health and Antimicrobial Strategies, National Veterinary Institute,
751 89 Uppsala, Sweden",National Veterinary Institute,#VALUE!,PH-VET,
,,p35,78,"U.S. Geological Survey, National Wildlife Health Center, Madison, Wisconsin, United States of America,",National Wildlife Health Center - Madison,#VALUE!,STEM-Ecology,
,,p5,78,"U.S. Geological Survey, National Wildlife Health Center, Madison, WI, USA ",National Wildlife Health Center - Madison,#VALUE!,PH-EPI,
,,p5,22,"Department of Agriculture, Wildlife Services, National Wildlife Research Center, Fort Collins, CO, USA.",National Wildlife Research Center - Fort Collins,#VALUE!,PH-VET,
,,p28,119,"Department of Ecology and Evolutionary Biology, Princeton University, Princeton, NJ 08544",Princeton University,#VALUE!,STEM-Ecology,
,,p33,127,"Rega Institute KU Leuven, Leuven, Belgium ",Rega Institute KU Leuven,Belgium ,PH-EPI,
,,p6,68,Royal Holloway University of London,Royal Holloway University of London,#VALUE!,PH-EPI,
,,p33,129,"Royal Meteorological Institute of Belgium, Uccle, Belgium",Royal Meteorological Institute of Belgium,Belgium ,STEM,
,,p16,50,"San Jose State University Research Foundation, Moss Landing Marine Laboratories, California, USAc",San Jose State University Research Foundation,#VALUE!,PH-VET,
,,p33,126,"Sciensano, Brussels, Belgium ",Sciensano,Belgium ,PH-VET,
,,p17,55,"National Avian Influenza Para-Reference Laboratory, College of Veterinary Medicine, South China Agricultural University, Guangzhou, China",South China Agricultural University,#VALUE!,PH-EPI,
,,p5,80,"Department of Infectious Diseases, St. Jude Children's Research Hospital, Memphis, TN, USA.",St. Jude Children's Research Hospital,#VALUE!,PH-VET,
,,p22,89,"Department of Virus & Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark",Statens Serum Institut,#VALUE!,STEM,
,,p16,52,"Suisun Resource Conservation District, Suisun Marsh Program, West Sacramento, California, USA",Suisun Resource Conservation District,#VALUE!,PH-VET,
,,p19,61,"Department of Clinical Sciences, Swedish University of Agricultural Sciences, 750 07 Uppsala, Sweden",Swedish University of Agricultural Sciences,#VALUE!,PH-EPI,
,,p12,44,"Swiss Institute of Bioinformatics, Lausanne, Switzerland",Swiss Institute of Bioinformatics,#VALUE!,STEM-Bioinformatics,
,,p21,87,"EURING, Thetford, UK",The EURING bank,#VALUE!,STEM,
,,p5,73,"Department of Veterinary Preventive Medicine, The Ohio State University, Columbus, OH, USA.",The Ohio State University,#VALUE!,STEM,
,,p26,115,"Queensland Alliance for One Health Sciences, School of Veterinary Science, The University of Queensland, Brisbane,
QLD 4343, Australia",The University of Queensland,#VALUE!,PH-VET,
,,p10,34,"Sydney School of Veterinary Science, Faculty of Science, The University of Sydney, Sydney, NSW, Australia",The University of Sydney,#VALUE!,PH-VET,
,,p4,11,"College of Agriculture, Environment and Nutrition Sciences, Tuskegee University, Tuskegee, AL, USA.",Tuskegee University,#VALUE!,PH-VET,
,,p4,14,"Department of Biomedical Sciences, College of Veterinary Medicine, Tuskegee University, Tuskegee, AL, USA",Tuskegee University,#VALUE!,STEM-Biology,
,,p7,24,"Sustainability Research Center & PhD in Conservation Medicine, Life Science Faculty, Universidad Andr‚s Bello, Rep£blica 440, Santiago, Chile",Universidad Andre?s Bello ,#VALUE!,PH-VET,
,,p7,25,"N£cleo de Ciencias Aplicadas en Ciencias Veterinarias y Agron¢micas, Facultad de
  Medicina Veterinaria y Agronom¡a, Universidad de las Am‚ricas, Echaurren 140, Santiago, Chile",Universidad de las Ame?rica ,#VALUE!,STEM,
,,p7,26,"MIVEGEC, IRD, CNRS, Universit‚ de Montpellier, Montpellier, France.",Universit‚ de Montpellier,#VALUE!,STEM,
,,p12,39,"IHAP, Universit‚ de Toulouse, INRAE, ENVT, Toulouse, France",Universit‚ de Toulouse,#VALUE!,PH-EPI,
,,p33,128,"Universite? Libre de Bruxelles, Brussels ",Universite? Libre de Bruxelles,Belgium ,PH-EPI,
