,,DOI,Paper associated ,Author,Affiliation code 1,Afilliation name 1,Affiliation code 2,Affiliation name 2,Corresponding author  ,First author,Afilliation code 3,Affiliation name 3,Country ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOI: 10.1111/tbed.14672,p1,Hye-Jeong Jeon ,1,"Korea Institute of Ornithology, KyungHee University, Seoul,",2,"Department of Biology, KyungHee University, Seoul",no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOI: 10.1111/tbed.14670,p1,Mi-Jin Hong,1,"Korea Institute of Ornithology, KyungHee University, Seoul,",2,"Department of Biology, KyungHee University, Seoul",no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOI: 10.1111/tbed.14671,p1,Min-Seung Yang ,1,"Korea Institute of Ornithology, KyungHee University, Seoul,",3,"Department of Biology, KyungHee University, Seoul",no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOI: 10.1111/tbed.14669,p1,Seongho Yun ,1,"Korea Institute of Ornithology, KyungHee University, Seoul,",N/A,N/A,no,yes,N/A,N/A,#UNKNOWN!,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOI: 10.1111/tbed.14673,p1,Who-Seung Lee,3,"Environment Assessment Group, Korea Environment Institute, Sejong",N/A,N/A,yes,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOI: 10.1111/tbed.14377,p2,Byung Chul Chun,4,"Department of Public Health, College of Medicine, Korea University, Seoul",N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOI: 10.1111/tbed.14376,p2,Dae-Sung Yoo,4,"Department of Public Health, College of Medicine, Korea University, Seoul",N/A,N/A,yes,yes,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOI: 10.1111/tbed.14378,p2,Kwang-Nyeong Lee,4,"Department of Public Health, College of Medicine, Korea University, Seoul",N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOI: 10.1111/tbed.14379,p2,Kyuyoung Lee ,5,"Center for Animal Disease Modeling and Surveillance (CADMS), Department of Medicine and Epidemiology, School of Veterinary Medicine, University of California, Davis, California, USA ",N/A,N/A,no,yes,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOI: 10.1111/tbed.14380,p2,Marti?nez Lo?pez Beatri ,5,"Center for Animal Disease Modeling and Surveillance (CADMS), Department of Medicine and Epidemiology, School of Veterinary Medicine, University of California, Davis, California, USA ",N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
