,,DOI,Paper associated ,Author,Affiliation code 1,Afilliation name 1,Affiliation code 2,Affiliation name 2,Corresponding author  ,First author,Afilliation code 3,Affiliation name 3,Country ,
,,DOI: 10.1111/tbed.14669,p1,Seongho Yun ,1,"Korea Institute of Ornithology, KyungHee University, Seoul,",N/A,N/A,no,yes,N/A,N/A,#VALUE!,#NAME?
,,,p1,Mi-Jin Hong,1,"Korea Institute of Ornithology, KyungHee University, Seoul,",2,"Department of Biology, KyungHee University, Seoul",no,no,N/A,N/A,#VALUE!,
,,,p1,Min-Seung Yang ,1,"Korea Institute of Ornithology, KyungHee University, Seoul,",3,"Department of Biology, KyungHee University, Seoul",no,no,N/A,N/A,#VALUE!,
,,,p1,Hye-Jeong Jeon ,1,"Korea Institute of Ornithology, KyungHee University, Seoul,",2,"Department of Biology, KyungHee University, Seoul",no,no,N/A,N/A,#VALUE!,
,,,p1,Who-Seung Lee,3,"Environment Assessment Group, Korea Environment Institute, Sejong",N/A,N/A,yes,no,N/A,N/A,#VALUE!,
,,DOI: 10.1111/tbed.14376,p2,Dae-Sung Yoo,4,"Department of Public Health, College of Medicine, Korea University, Seoul",N/A,N/A,yes,yes,N/A,N/A,#VALUE!,
,,,p2,Kyuyoung Lee ,5,"Center for Animal Disease Modeling and Surveillance (CADMS), Department of Medicine and Epidemiology, School of Veterinary Medicine, University of California, Davis, California, USA ",N/A,N/A,no,yes,N/A,N/A,#VALUE!,
,,,p2,Marti?nez Lo?pez Beatri ,5,"Center for Animal Disease Modeling and Surveillance (CADMS), Department of Medicine and Epidemiology, School of Veterinary Medicine, University of California, Davis, California, USA ",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p2,Byung Chul Chun,4,"Department of Public Health, College of Medicine, Korea University, Seoul",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p2,Jaber Belkhiria ,6,"One Health Institute, School of Veterinary Medicine, University of California, Davis, California, USA",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p2,Kwang-Nyeong Lee,4,"Department of Public Health, College of Medicine, Korea University, Seoul",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,https://doi.org/10.1007/s11356-022-19016-1,p3,Wei Chen,7,"College of Geoscience and Surveying Engineering, University of Mining & Technology, Beijing 100083, China
",N/A,N/A,yes,yes,N/A,N/A,#VALUE!,
,,,p3,Xuepeng Zhang,7,"College of Geoscience and Surveying Engineering, University of Mining & Technology, Beijing 100083, China
",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p3,Wenwu Zhao,8,"Institute of Land Surface System and Sustainable Development, Faculty of Geographical Science, Beijing Normal University, Beijing 100875, China
",9,"State Key Laboratory of Earth Surface Processes
and Resource Ecology, Faculty of Geographical Science, Beijing Normal University, Beijing 100875, China",no,no,N/A,N/A,#VALUE!,
,,,p3,Lan Yang,7,"College of Geoscience and Surveying Engineering, University of Mining & Technology, Beijing 100083, China
",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p3,Zhe Wang,7,"College of Geoscience and Surveying Engineering, University of Mining & Technology, Beijing 100083, China
",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p3,Hongru Bi ,8,"College of Geoscience and Surveying Engineering, University of Mining & Technology, Beijing 100083, China
",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,https://doi.org/10.1186/s12917-022-03273-w ,p4,Yumna Elsobky,10,"Department of Hygiene and Zoonosis, Faculty of Veterinary Medicine, University of Sadat City, Menofia, Sadat City 32897, Egypt",N/A,N/A,yes,yes,N/A,N/A,#VALUE!,
,,,p4,Gamal El Afandi,11,"College of Agriculture, Environment and Nutrition Sciences, Tuskegee University, Tuskegee, AL, USA.",12,"Astronomy and Meteorology Department, Faculty of Science, Al-Azhar University, Cairo, Egypt.",no,no,N/A,N/A,#VALUE!,
,,,p4,Akram Salama,13,"Department of Animal Medicine and Infectious Diseases, Faculty of Veterinary Medicine, University of Sadat City, Sadat City, Menofia 32897, Egypt.",14,"Department of Biomedical Sciences, College of Veterinary Med- icine, Tuskegee University, Tuskegee, AL, USA",no,no,N/A,N/A,#VALUE!,
,,,p4,Ahmed Byomi,10,"Department of Hygiene and Zoonosis, Faculty of Veterinary Medicine, University of Sadat City, Menofia, Sadat City 32897, Egypt",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p4,Muhammad Omar,14,"Department of Biomedical Sciences, College of Veterinary Med- icine, Tuskegee University, Tuskegee, AL, USA",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p4,Mahmoud Eltholth,15,"Global Academy of Agriculture and Food Security, The Royal (Dick) School of Veterinary Studies, University
of Edinburgh, Easter Bush Campus, Midlothian EH25 9RG, UK.",16,"Department of Animal Hygiene and Preventive Medicine, Faculty of Veterinary Medicine, Kafrelsheikh University, Kafrelsheikh, Egypt. ",no,no,N/A,N/A,#VALUE!,
,,https://doi.org/10.1038/s41598-022-17396-5,p5,Cody M. Kent,17,"Department of Environmental Science and Technology, University of Maryland, College Park, MD, USA",18,"Geological Survey, Eastern Ecological Science Center, Laurel, MD, USA",yes,yes,N/A,N/A,#VALUE!,
,,,p5,Andrew M. Ramey,19,"Geological Survey, Alaska Science Center, Anchorage, AK, USA ",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p5,Joshua T. Ackerman,20,"Geological Survey, Western Ecological Research Center, Dixon Field Station, Dixon, CA, USA",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p5,Justin Bahl,21,"Department of Infectious Diseases, University of Georgia, Athens, GA, USA.",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p5,Sarah N. Bevins,22,"Department of Agriculture, Wildlife Services, National Wildlife Research Center, Fort Collins, CO, USA.",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p5,Andrew S. Bowman,73,"Department of Veterinary Preventive Medicine, The Ohio State University, Columbus, OH, USA.",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p5,Walter M. Boyce,74,"School of Veterinary Medicine, University of California Davis, Davis, CA, USA",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p5,Carol J. Cardona,75,"Department of Veterinary and Biomedical Sciences, University of Minnesota, St. Paul, MN, USA.",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p5,Michael L. Casazza,20,"Geological Survey, Western Ecological Research Center, Dixon Field Station, Dixon, CA, USA",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p5,Troy D. Cline,76,"Department of Biological Sciences, California State University Chico, Chico, CA, USA.",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p5,Susan E. De La Cruz,77,"U.S. Geological Survey, San Francisco Bay Estuary Field Station, Western Ecological Research Center, Moffett Field, CA, USA.",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p5,Jeffrey S. Hall,78,"U.S. Geological Survey, National Wildlife Health Center, Madison, WI, USA ",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p5,Nichola J. Hill,79,"Department of Biology, University of Massachusetts, Boston, MA, USA.",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p5,Hon S. Ip,78,"U.S. Geological Survey, National Wildlife Health Center, Madison, WI, USA ",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p5,Scott Krauss,80,"Department of Infectious Diseases, St. Jude Children's Research Hospital, Memphis, TN, USA.",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p5,Jennifer M. Mullinax,17,"Department of Environmental Science and Technology, University of Maryland, College Park, MD, USA",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p5,Jacqueline M. Nolting,73,"Department of Veterinary Preventive Medicine, The Ohio State University, Columbus, OH, USA.",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p5,Magdalena Plancarte,74,"School of Veterinary Medicine, University of California Davis, Davis, CA, USA",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p5,Rebecca L. Poulson,80,"Department of Infectious Diseases, St. Jude Children's Research Hospital, Memphis, TN, USA.",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p5,Jonathan A. Runstadler,80,"Department of Infectious Disease and Global Health, Tufts University, Medford, MA, US",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p5,Richard D. Slemons ,73,"Department of Veterinary Preventive Medicine, The Ohio State University, Columbus, OH, USA.",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p5,David E. Stallknecht ,80,"Department of Infectious Diseases, St. Jude Children's Research Hospital, Memphis, TN, USA.",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p5,Jeffery D. Sullivan,18,"Geological Survey, Eastern Ecological Science Center, Laurel, MD, USA",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p5,John Y. Takekawa,77,"U.S. Geological Survey, San Francisco Bay Estuary Field Station, Western Ecological Research Center, Moffett Field, CA, USA.",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p5,Richard J. Webby ,80,"Department of Infectious Diseases, St. Jude Children's Research Hospital, Memphis, TN, USA.",N/A,N/A,no,no,N/A,N/A,#VALUE!,
